sample_id,predictor,covariate1,covariate2,covariate3,outcome,covariate4
sample_1,1,-0.492280622996692,-0.531379989796942,0.563176619733448,1,1.32197235648872
sample_2,0,-0.701050905472695,-0.865071684444103,-2.05902174488645,0,0.949808947389325
sample_3,1,0.741785639141031,0.144890449644165,1.48646402094645,0,1.86368926889979
sample_4,1,0.63042090133221,0.176708717497855,1.6290918560476,0,0.675515599714618
sample_5,1,-0.148620508894516,-1.37642492820958,1.58107814836323,0,1.61830033228643
sample_6,1,-0.412879981413475,0.121512405208255,0.669803195103982,0,0.0422612682358421
sample_7,1,-0.392395682724811,-0.591648149082406,0.651296118958881,0,1.37849402785347
sample_8,0,0.703744121753625,-0.588104992185723,1.17198705341948,1,-0.63758812400471
sample_9,0,0.773158383012869,0.662352952438191,0.843775412580375,1,0.728198715659962
sample_10,0,-1.12458438681323,-0.101351569980032,-0.55816540768256,1,0.430807469935945
sample_11,1,-1.55488604985948,0.156933858347996,1.45346755956407,0,1.18367960902622
sample_12,0,0.959052601287909,1.55476737615431,-1.59088742971112,0,-0.493683276316874
sample_13,0,-0.639447446418512,-1.25724586857161,0.648542369356183,0,-1.43118679313152
sample_14,0,0.079271058848705,0.150171660572252,-0.297689576687357,0,-0.332380697948967
sample_15,0,-1.00495714089939,0.285226740962368,-1.11387226998837,1,0.296629312163656
sample_16,0,0.191102828786901,-0.481478268459382,1.22451755352145,1,0.658776139474107
sample_17,0,1.39306266562136,-0.0998156670686369,0.276524321169736,0,0.334017446759739
sample_18,0,-1.63088451972593,-0.98005449607188,-0.879760036633325,0,0.313968135698755
sample_19,1,-0.117599506053834,-0.383521526647987,1.75122540830885,0,2.55007956037986
sample_20,1,0.438536382004629,-0.03499965862594,2.53054103235672,0,2.3817432184821
sample_21,0,0.136274434080947,-1.10638915434904,1.04039187673229,0,-0.0792928359668892
sample_22,1,-0.949267132745922,0.238323637760551,1.22465326812196,1,1.05296590321172
sample_23,1,-1.44203096321435,1.7399588394028,1.06186563269576,1,2.14250366278455
sample_24,1,-0.105949685731251,-1.12571475021003,2.60749102654384,1,1.62076869485275
sample_25,0,-1.53941185401444,1.90920068150164,-0.483525798989707,1,-0.0104020909000207
sample_26,0,-0.340500011355619,-0.658267527636101,1.16135234696245,1,0.814577008992463
sample_27,1,0.818919108574484,0.682927355086862,3.40866617708284,1,1.85118167039837
sample_28,1,1.01942484693889,1.16055538549283,0.839074609910261,1,0.487490776481533
sample_29,0,1.78689766094258,-1.37872544944609,-0.165429339285795,1,0.330351416214949
sample_30,1,1.29801290242362,0.236748330898952,1.87343221207866,1,1.53511119058828
sample_31,0,1.14597167138896,-0.550502900686932,0.795158605294856,1,0.00256182446121939
sample_32,0,1.79554464713354,1.33681164040365,0.608442562891633,1,-0.154299188390458
sample_33,1,0.0382049679099887,-1.20467351748522,-0.136860291506244,0,1.67521571041426
sample_34,1,1.87239618920951,-0.322672943947769,1.1743724346158,0,1.63919900274671
sample_35,0,1.24034267936856,-0.110995386777316,-0.656399344333013,0,0.124669003934365
sample_36,1,1.27754552858838,0.168810554237052,1.78906305841508,1,2.14973658038026
sample_37,0,-0.0819655903933651,-0.419719270860773,-0.807064678296523,0,-0.790857206817238
sample_38,0,-0.0827685248758607,-1.5405527580787,1.88379927085745,1,-0.23315573053863
sample_39,1,0.929052562096812,0.816297582090915,-0.552611618497997,0,2.05202934666177
sample_40,1,0.993675868818521,-0.471897545704942,1.34266603734887,0,1.74546190187997
sample_41,0,-0.000942954175535582,-0.253941659467675,0.133018047208572,1,0.0648891823029092
sample_42,1,-1.04264229177695,-0.389763248184989,-0.242212247974714,0,1.65825260503623
sample_43,0,0.072076692561702,0.152458021767039,-0.639206141379426,0,-0.0972606857544029
sample_44,0,-0.129759993875093,-0.387128975258922,0.424039497955083,0,-0.824417688106263
sample_45,0,-1.74603551443872,1.12453462594011,-0.431618756598859,0,0.791235239343236
sample_46,0,0.448561046597536,-0.345406966100138,0.0355526994697527,0,-0.681826575594143
sample_47,0,-0.845582911179433,-1.10127652390385,-1.32040698723381,0,-0.254361241689869
sample_48,1,-1.39976821092041,1.16038303816959,0.248407549668513,0,1.49834510689971
sample_49,1,-1.24706877489479,-0.0642009980993889,0.953585182967797,1,2.29965468284816
sample_50,1,-3.21659845504079,-0.104070362511155,0.927635571906782,0,2.42191822331554
sample_51,1,-0.0550824927163832,1.08466576037019,-0.544698551737889,1,2.48312666785506
sample_52,0,0.32563023877816,0.341231199144383,0.426045184935518,0,0.186546809577226
sample_53,1,-0.415504400374619,0.719245007496572,0.105214271032875,1,1.38008963145243
sample_54,1,0.357050900419454,-1.63132322837018,0.468027230613414,0,2.0327974326562
sample_55,0,0.466497889854753,0.344182575286116,1.01147723483426,1,-0.186845451307071
sample_56,0,1.30225209157413,-1.44640761814488,-0.362059443977473,0,1.11305350327082
sample_57,1,0.459439534275495,1.13992062167694,1.01770985847246,1,1.04356288790897
sample_58,0,-0.104803511192251,-0.926915941959772,-0.602857841335696,1,-0.924394713610712
sample_59,0,-0.542323566121084,0.259385080782466,-0.00768438489812454,0,-1.13817008175785
sample_60,0,1.52937651708574,1.92051919071763,-0.292493042778826,1,1.03184347358736
sample_61,1,-1.50281059275834,0.523010728019706,1.27029414788784,1,2.15297246060574
sample_62,1,0.408889240173808,0.434637813213943,0.930110925373959,0,1.58329552589418
sample_63,0,-0.730491183947754,-1.4718824280763,-0.475331833147749,1,0.183660073391437
sample_64,1,-0.768353296908786,-0.23869336875157,0.795680484762058,1,1.85952711373426
sample_65,1,0.677886460221709,1.22495680466824,0.449053092402998,1,1.84393606397244
sample_66,1,-0.0906202357004498,0.448990892523626,1.29789402975204,0,1.06444324719358
