Cell Line, LPS Time point,TNF Cq 1,TNF Cq 2,b-actin Cq 1,b-actin Cq 2
Intron enh A1,unstimulated,24.49,24.53,15.51,15.37
Intron enh A1,2 hr,18.92,18.58,16.02,15.87
Intron enh A1,6 hr,20.11,20.03,16.31,16.17
Intron enh A1,24 hr,21.87,21.22,15.19,15.02
Intron enh A1,48 hr,21.72,21.55,14.35,14.09
Intron enh B6,unstimulated,26.24,26.10,16.45,16.30
Intron enh B6,2 hr,20.44,20.30,16.64,16.31
Intron enh B6,6 hr,21.85,21.91,17.34,16.92
Intron enh B6,24 hr,22.40,22.28,16.21,15.91
Intron enh B6,48 hr,24.01,23.88,15.71,15.56
Intron enh F7,unstimulated,25.47,25.70,16.42,16.51
Intron enh F7,2 hr,20.20,20.39,17.14,17.21
Intron enh F7,6 hr,21.47,21.94,17.95,18.05
Intron enh F7,24 hr,22.47,22.52,17.32,17.08
Intron enh F7,48 hr,24.96,24.83,16.31,16.26
Intergenic enh C8.3,unstimulated,24.83,26.23,16.17,16.08
Intergenic enh C8.3,2 hr,19.70,20.01,16.26,16.14
Intergenic enh C8.3,6 hr,20.06,20.22,16.45,16.21
Intergenic enh C8.3,24 hr,20.47,20.60,15.74,15.67
Intergenic enh C8.3,48 hr,22.65,22.81,15.49,15.25
